timestamp,open,high,low,close,volume
2021-02-11,316.5600,322.0000,46.5200,51.1000,400802527
2021-01-29,19.0000,483.0000,17.0800,325.0000,1237565707
2020-12-31,17.1100,22.3499,12.1400,18.8400,250889770
2020-11-30,10.8200,19.4200,10.5000,16.5600,161466780
2020-10-30,10.0900,15.8700,9.1000,10.4700,359887054
2020-09-30,7.3000,11.1699,5.8700,10.2000,254961159
2020-08-31,4.0300,7.1500,3.9950,6.6800,117267794
2020-07-31,4.3100,4.5500,3.7700,4.0100,55519444
2020-06-30,4.1200,5.5300,4.0200,4.3400,99926178
2020-05-29,5.6500,6.1800,3.9600,4.0600,53469916
2020-04-30,3.4500,6.4700,2.5700,5.7300,99554518
2020-03-31,3.6000,5.0900,3.3900,3.5000,100431332
2020-02-28,3.8800,4.5100,3.1849,3.6000,55782515
2020-01-31,6.1400,6.4700,3.8300,3.8400,81064627
2019-12-31,6.3500,6.9200,5.1800,6.0800,120892640
2019-11-29,5.4500,6.3900,5.3500,6.3400,56923754
2019-10-31,5.6400,6.6200,4.9600,5.4400,106142680
2019-09-30,3.9700,5.6400,3.6600,5.5200,209859029
2019-08-30,4.0200,4.3600,3.1500,3.9700,150907663
2019-07-31,5.5300,5.6400,3.9000,4.0200,155013216
2019-06-28,7.5800,7.8500,4.7100,5.4700,170304184
2019-05-31,8.6600,8.9900,7.3200,7.5800,67422561
2019-04-30,10.2900,10.4200,8.5300,8.6500,114515822
2019-03-29,11.8800,12.1000,10.0700,10.1600,67209131
2019-02-28,11.3100,11.9300,11.0000,11.7000,54707381
2019-01-31,12.4500,16.9030,11.1000,11.3400,107232026
2018-12-31,13.8200,14.1100,11.5600,12.6200,50160871
2018-11-30,14.6100,15.7550,12.1400,13.6600,84573696
2018-10-31,15.2800,15.6000,13.6400,14.6000,52300929
2018-09-28,13.1700,17.0400,13.0800,15.2700,75144761
2018-08-31,14.4200,17.2700,13.1800,13.2700,84426800
2018-07-31,14.5900,15.6250,14.0000,14.4100,52099061
2018-06-29,12.8000,15.9800,12.7000,14.5700,157304867
2018-05-31,13.5800,13.8900,12.2550,13.2000,98518154
2018-04-30,12.5100,14.1800,12.5000,13.6500,94338226
2018-03-29,15.7900,16.2300,12.2000,12.6200,103104251
2018-02-28,16.7000,17.0050,15.1010,15.6900,64505311
2018-01-31,17.9600,20.3100,16.6100,16.8100,89047081
2017-12-29,18.7300,19.8600,17.9400,17.9500,57344385
2017-11-30,18.6700,19.6900,15.8500,18.7500,104587525
2017-10-31,20.6500,20.6800,18.5900,18.6900,37793975
2017-09-29,18.6000,20.9700,18.5550,20.6600,40312707
2017-08-31,21.6900,22.3700,18.4700,18.5000,70981172
2017-07-31,21.7700,22.0000,20.6500,21.6900,35005485
