timestamp,open,high,low,close,volume
2021-02-11,72.4100,72.6600,46.5200,51.1000,100285885
2021-02-05,316.5600,322.0000,51.0900,63.7700,300516642
2021-01-29,96.7300,483.0000,61.1300,325.0000,538515347
2021-01-22,41.5500,76.7573,36.0600,65.0100,359357661
2021-01-15,19.4100,43.0600,19.0100,35.5000,306041284
2021-01-08,19.0000,19.4500,17.0800,17.6900,33651415
2020-12-31,21.3100,21.9700,18.5600,18.8400,31022763
2020-12-24,15.8100,22.3499,15.2800,20.1500,72656276
2020-12-18,13.3400,16.3000,12.1400,15.6300,48878749
2020-12-11,17.0000,17.5000,13.0200,13.3100,62920155
2020-12-04,18.1700,19.4200,15.3800,16.9000,67395325
2020-11-27,12.9000,16.7400,12.6700,16.0800,38102798
2020-11-20,11.1600,13.4600,10.7200,12.7100,39812182
2020-11-13,12.7600,12.9300,10.8300,11.0100,22855460
2020-11-06,10.8200,12.1700,10.5000,11.8600,28712842
2020-10-30,14.9300,15.4500,10.3600,10.4700,42724065
2020-10-23,13.4400,15.8700,13.3800,15.0000,47854508
2020-10-16,11.6600,15.1000,11.4000,13.3100,96158571
2020-10-09,9.4400,14.8000,9.1000,12.0200,164255371
